"ADM1_FR","Lat","Lon","iso"
"Agneby-Tiassa",5.93544815673444,-4.51775976735072,"CIV"
"Bafing",8.38891440673835,-7.62434702206607,"CIV"
"Bagoue",9.86062741458823,-6.47109879689932,"CIV"
"Belier",6.91695517716566,-5.03433811324286,"CIV"
"Bere",8.36518939261478,-6.0403707041541,"CIV"
"Bounkani",9.16724863443759,-3.4465010947149,"CIV"
"Cavally",6.33306753661012,-7.68592123988908,"CIV"
"District Autonome D'Abidjan",5.41390944370955,-4.07510411457543,"CIV"
"District Autonome De Yamoussoukro",6.85578528263511,-5.26877053036423,"CIV"
"Folon",10.100179582846,-7.40019595149084,"CIV"
"Gbeke",7.70294574216538,-5.21644235600728,"CIV"
"Gbokle",5.26707870434883,-5.97181300487155,"CIV"
"Goh",6.21579926589132,-5.87787344061171,"CIV"
"Gontougo",7.99215576869089,-3.21258646927688,"CIV"
"Grands Ponts",5.36022137263015,-4.77655271185771,"CIV"
"Guemon",7.01790558288943,-7.31609753523929,"CIV"
"Hambol",8.52038310529461,-4.83808137148353,"CIV"
"Haut-Sassandra",7.03569865669116,-6.60344889058423,"CIV"
"Iffou",7.46414658651279,-4.0599572100659,"CIV"
"Indenie-Djuablin",6.71503609978868,-3.42709900676668,"CIV"
"Kabadougou",9.42348032649762,-7.37852762847109,"CIV"
"Loh-Djiboua",5.757151034389,-5.40423913760305,"CIV"
"Marahoue",7.08495815218539,-5.89271279636796,"CIV"
"Me",5.98901075289465,-3.74320811875741,"CIV"
"Moronou",6.60300841820073,-4.23929062571564,"CIV"
"N'Zi",6.97373783978473,-4.56079978470884,"CIV"
"Nawa",5.85304564905767,-6.66906261740636,"CIV"
"Poro",9.41526748024643,-5.83286080815067,"CIV"
"San Pedro",5.01287490848175,-7.04728013976352,"CIV"
"Sud-Comoe",5.48058019409109,-3.18011384612964,"CIV"
"Tchologo",9.50487684287605,-4.81882885850931,"CIV"
"Tonkpi",7.47329240391691,-7.8212146114467,"CIV"
"Worodougou",8.38027201182835,-6.75741671365474,"CIV"
