"ADM1_EN","Lat","Lon","iso"
"Adamawa",6.84890860479708,13.1395293289546,"GHA"
"Centre",4.66311792597971,11.8220362010691,"GHA"
"East",3.796144827283,14.2217977304362,"GHA"
"Far-North",11.0779203891722,14.5321614507581,"GHA"
"Littoral",4.25730480874785,10.1153504856664,"GHA"
"North",8.48644308120128,13.941333578841,"GHA"
"North-West",6.36561862404354,10.3692586004137,"GHA"
"South",2.75627556974432,11.57582866603,"GHA"
"South-West",5.20048739076134,9.29251238040586,"GHA"
"West",5.49796691976339,10.6489973697729,"GHA"
