"ADM1_EN","Lat","Lon","country"
"Baringo",0.671617910395494,35.9457994941569,"KEN"
"Bomet",-0.716580254548184,35.2981429496956,"KEN"
"Bungoma",0.751738297863898,34.6398503771787,"KEN"
"Busia",0.389786731015577,34.193262834082,"KEN"
"Elgeyo-Marakwet",0.802428440150221,35.5372098431489,"KEN"
"Embu",-0.601548442696349,37.6257894649605,"KEN"
"Garissa",-0.486538347343605,40.1985875478168,"KEN"
"Homa Bay",-0.540375222546481,34.3584568953009,"KEN"
"Isiolo",1.01276745457242,38.5413775779558,"KEN"
"Kajiado",-2.11887151370629,36.9079206758466,"KEN"
"Kakamega",0.406220858959269,34.7441828006556,"KEN"
"Kericho",-0.288438601432808,35.3132629921953,"KEN"
"Kiambu",-1.06633330469498,36.8227484939472,"KEN"
"Kilifi",-3.17275765480646,39.6860144611901,"KEN"
"Kirinyaga",-0.522329565696046,37.3191570694609,"KEN"
"Kisii",-0.772379964647679,34.7740832871765,"KEN"
"Kisumu",-0.167033011148883,34.8344008852047,"KEN"
"Kitui",-1.48819056337709,38.4061280379873,"KEN"
"Kwale",-4.13980201988471,39.1522627029841,"KEN"
"Laikipia",0.325979728912336,36.771011543132,"KEN"
"Lamu",-2.0454030128858,40.7560768090256,"KEN"
"Machakos",-1.27709955696853,37.4119871352918,"KEN"
"Makueni",-2.1551464618592,37.7873755159441,"KEN"
"Mandera",3.43878720098928,40.7380955365867,"KEN"
"Marsabit",2.98088407250856,37.5693367197952,"KEN"
"Meru",0.169269741782865,37.7633419423393,"KEN"
"Migori",-0.987427522553528,34.3631067073243,"KEN"
"Mombasa",-4.01717447597502,39.6546091962303,"KEN"
"Murang'a",-0.807148704798927,37.0319957510812,"KEN"
"Nairobi",-1.29090786867061,36.8675358508907,"KEN"
"Nandi",0.189032160676878,35.1098979663639,"KEN"
"Narok",-1.2534642239144,35.57507121858,"KEN"
"Nyamira",-0.640147997303774,34.9639268381951,"KEN"
"Nyandarua",-0.319830314842653,36.48217699729,"KEN"
"Nyeri",-0.340505348575768,36.9557533940232,"KEN"
"Samburu",1.31921421324628,37.1177708088909,"KEN"
"Siaya",-0.059512370594515,34.2471423212262,"KEN"
"Taita Taveta",-3.43236697477331,38.4178091582081,"KEN"
"Tana River",-1.52412706633639,39.416966948441,"KEN"
"Tharaka-Nithi",-0.204615798319702,37.8695859820327,"KEN"
"Trans Nzoia",1.05332674356923,34.9567949980297,"KEN"
"Turkana",3.42636896354015,35.4356581016773,"KEN"
"Uasin Gishu",0.528330581397004,35.3213245321105,"KEN"
"Vihiga",0.0786289176287814,34.7216075966649,"KEN"
"Wajir",1.81025694233253,40.0345113717989,"KEN"
"West Pokot",1.74139533004071,35.243382771097,"KEN"
"Nakuru",-0.461498026666731,36.0772646502456,"KEN"
